y,e
0.38,0.32
0.386326531,0.32
0.392653061,0.32
0.398979592,0.32
0.405306122,0.32
0.411632653,0.32
0.417959184,0.32
0.424285714,0.32
0.430612245,0.32
0.436938776,0.32
0.443265306,0.32
0.449591837,0.32
0.455918367,0.32
0.462244898,0.32
0.468571429,0.32
0.474897959,0.32
0.48122449,0.32
0.48755102,0.32
0.493877551,0.32
0.500204082,0.32
0.506530612,0.32
0.512857143,0.32
0.519183673,0.32
0.525510204,0.32
0.531836735,0.32
0.538163265,0.32
0.544489796,0.32
0.550816327,0.32
0.557142857,0.32
0.563469388,0.32
0.569795918,0.32
0.576122449,0.32
0.58244898,0.32
0.58877551,0.32
0.595102041,0.32
0.601428571,0.32
0.607755102,0.32
0.614081633,0.32
0.620408163,0.32
0.626734694,0.32
0.633061224,0.32
0.639387755,0.32
0.645714286,0.32
0.652040816,0.32
0.658367347,0.32
0.664693878,0.32
0.671020408,0.32
0.677346939,0.32
0.683673469,0.32
0.69,0.32
0.7,0.313
0.71,0.31
0.72,0.309
0.73,0.307
0.74,0.306
0.75,0.304
0.76,0.301
0.77,0.303
0.78,0.301
0.79,0.299
0.8,0.298
0.81,0.297
0.82,0.295
0.83,0.292
0.84,0.292
0.85,0.29
0.86,0.29
0.87,0.288
0.88,0.287
0.89,0.285
0.9,0.284
0.91,0.282
0.92,0.282
0.93,0.281
0.94,0.277
0.95,0.277
0.96,0.275
0.97,0.276
0.98,0.274
0.99,0.275
1,0.276
1.2,0.262
1.214,0.263
1.223,0.258
1.232,0.258
1.241,0.256
1.251,0.254
1.261,0.252
1.271,0.25
1.281,0.249
1.291,0.247
1.301,0.245
1.312,0.243
1.322,0.24
1.333,0.237
1.344,0.235
1.356,0.236
1.367,0.237
1.379,0.233
1.39,0.233
1.403,0.236
1.415,0.235
1.427,0.235
1.44,0.234
1.453,0.234
1.466,0.234
1.479,0.234
1.493,0.234
1.507,0.233
1.521,0.233
1.536,0.233
1.55,0.233
1.565,0.233
1.573,0.233
2,0.243
2.012,0.242
2.025,0.242
2.038,0.243
2.051,0.243
2.064,0.243
2.077,0.243
2.09,0.243
2.104,0.241
2.118,0.241
2.132,0.24
2.146,0.239
2.16,0.239
2.174,0.238
2.189,0.237
2.204,0.236
2.219,0.235
2.234,0.234
2.25,0.234
2.266,0.233
2.282,0.232
2.298,0.231
2.314,0.231
2.331,0.23
2.348,0.23
2.365,0.229
2.382,0.229
2.4,0.229
2.418,0.229
2.436,0.229
2.454,0.229
2.473,0.229
2.492,0.229
2.512,0.229
3.146,0.191
3.176,0.189
3.208,0.185
3.273,0.192
3.306,0.187
3.34,0.182
3.375,0.18
3.411,0.183
3.447,0.184
3.484,0.185
3.522,0.184
3.56,0.183
3.6,0.183
3.64,0.184
3.682,0.181
3.724,0.184
3.767,0.179
3.812,0.179
3.857,0.177
3.904,0.178
3.951,0.176
4,0.176
4.05,0.176
4.101,0.176
4.154,0.173
4.378,0.179
4.438,0.171
4.5,0.171
4.563,0.171
4.628,0.171
4.696,0.171
4.765,0.168
4.836,0.167
4.909,0.166
4.984,0.166
5.062,0.164
5.143,0.164
5.226,0.164
5.311,0.164
5.4,0.164
5.491,0.164
5.5,0.16
5.50950951,0.16
5.519019019,0.16
5.528528529,0.16
5.538038038,0.16
5.547547548,0.16
5.557057057,0.16
5.566566567,0.16
5.576076076,0.16
5.585585586,0.16
5.595095095,0.16
5.604604605,0.16
5.614114114,0.16
5.623623624,0.16
5.633133133,0.16
5.642642643,0.16
5.652152152,0.16
5.661661662,0.16
5.671171171,0.16
5.680680681,0.16
5.69019019,0.16
5.6996997,0.16
5.709209209,0.16
5.718718719,0.16
5.728228228,0.16
5.737737738,0.16
5.747247247,0.16
5.756756757,0.16
5.766266266,0.16
5.775775776,0.16
5.785285285,0.16
5.794794795,0.16
5.804304304,0.16
5.813813814,0.16
5.823323323,0.16
5.832832833,0.16
5.842342342,0.16
5.851851852,0.16
5.861361361,0.16
5.870870871,0.16
5.88038038,0.16
5.88988989,0.16
5.899399399,0.16
5.908908909,0.16
5.918418418,0.16
5.927927928,0.16
5.937437437,0.16
5.946946947,0.16
5.956456456,0.16
5.965965966,0.16
5.975475475,0.16
5.984984985,0.16
5.994494494,0.16
6.004004004,0.16
6.013513514,0.16
6.023023023,0.16
6.032532533,0.16
6.042042042,0.16
6.051551552,0.16
6.061061061,0.16
6.070570571,0.16
6.08008008,0.16
6.08958959,0.16
6.099099099,0.16
6.108608609,0.16
6.118118118,0.16
6.127627628,0.16
6.137137137,0.16
6.146646647,0.16
6.156156156,0.16
6.165665666,0.16
6.175175175,0.16
6.184684685,0.16
6.194194194,0.16
6.203703704,0.16
6.213213213,0.16
6.222722723,0.16
6.232232232,0.16
6.241741742,0.16
6.251251251,0.16
6.260760761,0.16
6.27027027,0.16
6.27977978,0.16
6.289289289,0.16
6.298798799,0.16
6.308308308,0.16
6.317817818,0.16
6.327327327,0.16
6.336836837,0.16
6.346346346,0.16
6.355855856,0.16
6.365365365,0.16
6.374874875,0.16
6.384384384,0.16
6.393893894,0.16
6.403403403,0.16
6.412912913,0.16
6.422422422,0.16
6.431931932,0.16
6.441441441,0.16
6.450950951,0.16
6.46046046,0.16
6.46996997,0.16
6.479479479,0.16
6.488988989,0.16
6.498498498,0.16
6.508008008,0.16
6.517517518,0.16
6.527027027,0.16
6.536536537,0.16
6.546046046,0.16
6.555555556,0.16
6.565065065,0.16
6.574574575,0.16
6.584084084,0.16
6.593593594,0.16
6.603103103,0.16
6.612612613,0.16
6.622122122,0.16
6.631631632,0.16
6.641141141,0.16
6.650650651,0.16
6.66016016,0.16
6.66966967,0.16
6.679179179,0.16
6.688688689,0.16
6.698198198,0.16
6.707707708,0.16
6.717217217,0.16
6.726726727,0.16
6.736236236,0.16
6.745745746,0.16
6.755255255,0.16
6.764764765,0.16
6.774274274,0.16
6.783783784,0.16
6.793293293,0.16
6.802802803,0.16
6.812312312,0.16
6.821821822,0.16
6.831331331,0.16
6.840840841,0.16
6.85035035,0.16
6.85985986,0.16
6.869369369,0.16
6.878878879,0.16
6.888388388,0.16
6.897897898,0.16
6.907407407,0.16
6.916916917,0.16
6.926426426,0.16
6.935935936,0.16
6.945445445,0.16
6.954954955,0.16
6.964464464,0.16
6.973973974,0.16
6.983483483,0.16
6.992992993,0.16
7.002502503,0.16
7.012012012,0.16
7.021521522,0.16
7.031031031,0.16
7.040540541,0.16
7.05005005,0.16
7.05955956,0.16
7.069069069,0.16
7.078578579,0.16
7.088088088,0.16
7.097597598,0.16
7.107107107,0.16
7.116616617,0.16
7.126126126,0.16
7.135635636,0.16
7.145145145,0.16
7.154654655,0.16
7.164164164,0.16
7.173673674,0.16
7.183183183,0.16
7.192692693,0.16
7.202202202,0.16
7.211711712,0.16
7.221221221,0.16
7.230730731,0.16
7.24024024,0.16
7.24974975,0.16
7.259259259,0.16
7.268768769,0.16
7.278278278,0.16
7.287787788,0.16
7.297297297,0.16
7.306806807,0.16
7.316316316,0.16
7.325825826,0.16
7.335335335,0.16
7.344844845,0.16
7.354354354,0.16
7.363863864,0.16
7.373373373,0.16
7.382882883,0.16
7.392392392,0.16
7.401901902,0.16
7.411411411,0.16
7.420920921,0.16
7.43043043,0.16
7.43993994,0.16
7.449449449,0.16
7.458958959,0.16
7.468468468,0.16
7.477977978,0.16
7.487487487,0.16
7.496996997,0.16
7.506506507,0.16
7.516016016,0.16
7.525525526,0.16
7.535035035,0.16
7.544544545,0.16
7.554054054,0.16
7.563563564,0.16
7.573073073,0.16
7.582582583,0.16
7.592092092,0.16
7.601601602,0.16
7.611111111,0.16
7.620620621,0.16
7.63013013,0.16
7.63963964,0.16
7.649149149,0.16
7.658658659,0.16
7.668168168,0.16
7.677677678,0.16
7.687187187,0.16
7.696696697,0.16
7.706206206,0.16
7.715715716,0.16
7.725225225,0.16
7.734734735,0.16
7.744244244,0.16
7.753753754,0.16
7.763263263,0.16
7.772772773,0.16
7.782282282,0.16
7.791791792,0.16
7.801301301,0.16
7.810810811,0.16
7.82032032,0.16
7.82982983,0.16
7.839339339,0.16
7.848848849,0.16
7.858358358,0.16
7.867867868,0.16
7.877377377,0.16
7.886886887,0.16
7.896396396,0.16
7.905905906,0.16
7.915415415,0.16
7.924924925,0.16
7.934434434,0.16
7.943943944,0.16
7.953453453,0.16
7.962962963,0.16
7.972472472,0.16
7.981981982,0.16
7.991491491,0.16
8.001001001,0.16
8.010510511,0.16
8.02002002,0.16
8.02952953,0.16
8.039039039,0.16
8.048548549,0.16
8.058058058,0.16
8.067567568,0.16
8.077077077,0.16
8.086586587,0.16
8.096096096,0.16
8.105605606,0.16
8.115115115,0.16
8.124624625,0.16
8.134134134,0.16
8.143643644,0.16
8.153153153,0.16
8.162662663,0.16
8.172172172,0.16
8.181681682,0.16
8.191191191,0.16
8.200700701,0.16
8.21021021,0.16
8.21971972,0.16
8.229229229,0.16
8.238738739,0.16
8.248248248,0.16
8.257757758,0.16
8.267267267,0.16
8.276776777,0.16
8.286286286,0.16
8.295795796,0.16
8.305305305,0.16
8.314814815,0.16
8.324324324,0.16
8.333833834,0.16
8.343343343,0.16
8.352852853,0.16
8.362362362,0.16
8.371871872,0.16
8.381381381,0.16
8.390890891,0.16
8.4004004,0.16
8.40990991,0.16
8.419419419,0.16
8.428928929,0.16
8.438438438,0.16
8.447947948,0.16
8.457457457,0.16
8.466966967,0.16
8.476476476,0.16
8.485985986,0.16
8.495495495,0.16
8.505005005,0.16
8.514514515,0.16
8.524024024,0.16
8.533533534,0.16
8.543043043,0.16
8.552552553,0.16
8.562062062,0.16
8.571571572,0.16
8.581081081,0.16
8.590590591,0.16
8.6001001,0.16
8.60960961,0.16
8.619119119,0.16
8.628628629,0.16
8.638138138,0.16
8.647647648,0.16
8.657157157,0.16
8.666666667,0.16
8.676176176,0.16
8.685685686,0.16
8.695195195,0.16
8.704704705,0.16
8.714214214,0.16
8.723723724,0.16
8.733233233,0.16
8.742742743,0.16
8.752252252,0.16
8.761761762,0.16
8.771271271,0.16
8.780780781,0.16
8.79029029,0.16
8.7997998,0.16
8.809309309,0.16
8.818818819,0.16
8.828328328,0.16
8.837837838,0.16
8.847347347,0.16
8.856856857,0.16
8.866366366,0.16
8.875875876,0.16
8.885385385,0.16
8.894894895,0.16
8.904404404,0.16
8.913913914,0.16
8.923423423,0.16
8.932932933,0.16
8.942442442,0.16
8.951951952,0.16
8.961461461,0.16
8.970970971,0.16
8.98048048,0.16
8.98998999,0.16
8.999499499,0.16
9.009009009,0.16
9.018518519,0.16
9.028028028,0.16
9.037537538,0.16
9.047047047,0.16
9.056556557,0.16
9.066066066,0.16
9.075575576,0.16
9.085085085,0.16
9.094594595,0.16
9.104104104,0.16
9.113613614,0.16
9.123123123,0.16
9.132632633,0.16
9.142142142,0.16
9.151651652,0.16
9.161161161,0.16
9.170670671,0.16
9.18018018,0.16
9.18968969,0.16
9.199199199,0.16
9.208708709,0.16
9.218218218,0.16
9.227727728,0.16
9.237237237,0.16
9.246746747,0.16
9.256256256,0.16
9.265765766,0.16
9.275275275,0.16
9.284784785,0.16
9.294294294,0.16
9.303803804,0.16
9.313313313,0.16
9.322822823,0.16
9.332332332,0.16
9.341841842,0.16
9.351351351,0.16
9.360860861,0.16
9.37037037,0.16
9.37987988,0.16
9.389389389,0.16
9.398898899,0.16
9.408408408,0.16
9.417917918,0.16
9.427427427,0.16
9.436936937,0.16
9.446446446,0.16
9.455955956,0.16
9.465465465,0.16
9.474974975,0.16
9.484484484,0.16
9.493993994,0.16
9.503503504,0.16
9.513013013,0.16
9.522522523,0.16
9.532032032,0.16
9.541541542,0.16
9.551051051,0.16
9.560560561,0.16
9.57007007,0.16
9.57957958,0.16
9.589089089,0.16
9.598598599,0.16
9.608108108,0.16
9.617617618,0.16
9.627127127,0.16
9.636636637,0.16
9.646146146,0.16
9.655655656,0.16
9.665165165,0.16
9.674674675,0.16
9.684184184,0.16
9.693693694,0.16
9.703203203,0.16
9.712712713,0.16
9.722222222,0.16
9.731731732,0.16
9.741241241,0.16
9.750750751,0.16
9.76026026,0.16
9.76976977,0.16
9.779279279,0.16
9.788788789,0.16
9.798298298,0.16
9.807807808,0.16
9.817317317,0.16
9.826826827,0.16
9.836336336,0.16
9.845845846,0.16
9.855355355,0.16
9.864864865,0.16
9.874374374,0.16
9.883883884,0.16
9.893393393,0.16
9.902902903,0.16
9.912412412,0.16
9.921921922,0.16
9.931431431,0.16
9.940940941,0.16
9.95045045,0.16
9.95995996,0.16
9.969469469,0.16
9.978978979,0.16
9.988488488,0.16
9.997997998,0.16
10.00750751,0.16
10.01701702,0.16
10.02652653,0.16
10.03603604,0.16
10.04554555,0.16
10.05505506,0.16
10.06456456,0.16
10.07407407,0.16
10.08358358,0.16
10.09309309,0.16
10.1026026,0.16
10.11211211,0.16
10.12162162,0.16
10.13113113,0.16
10.14064064,0.16
10.15015015,0.16
10.15965966,0.16
10.16916917,0.16
10.17867868,0.16
10.18818819,0.16
10.1976977,0.16
10.20720721,0.16
10.21671672,0.16
10.22622623,0.16
10.23573574,0.16
10.24524525,0.16
10.25475475,0.16
10.26426426,0.16
10.27377377,0.16
10.28328328,0.16
10.29279279,0.16
10.3023023,0.16
10.31181181,0.16
10.32132132,0.16
10.33083083,0.16
10.34034034,0.16
10.34984985,0.16
10.35935936,0.16
10.36886887,0.16
10.37837838,0.16
10.38788789,0.16
10.3973974,0.16
10.40690691,0.16
10.41641642,0.16
10.42592593,0.16
10.43543544,0.16
10.44494494,0.16
10.45445445,0.16
10.46396396,0.16
10.47347347,0.16
10.48298298,0.16
10.49249249,0.16
10.502002,0.16
10.51151151,0.16
10.52102102,0.16
10.53053053,0.16
10.54004004,0.16
10.54954955,0.16
10.55905906,0.16
10.56856857,0.16
10.57807808,0.16
10.58758759,0.16
10.5970971,0.16
10.60660661,0.16
10.61611612,0.16
10.62562563,0.16
10.63513514,0.16
10.64464464,0.16
10.65415415,0.16
10.66366366,0.16
10.67317317,0.16
10.68268268,0.16
10.69219219,0.16
10.7017017,0.16
10.71121121,0.16
10.72072072,0.16
10.73023023,0.16
10.73973974,0.16
10.74924925,0.16
10.75875876,0.16
10.76826827,0.16
10.77777778,0.16
10.78728729,0.16
10.7967968,0.16
10.80630631,0.16
10.81581582,0.16
10.82532533,0.16
10.83483483,0.16
10.84434434,0.16
10.85385385,0.16
10.86336336,0.16
10.87287287,0.16
10.88238238,0.16
10.89189189,0.16
10.9014014,0.16
10.91091091,0.16
10.92042042,0.16
10.92992993,0.16
10.93943944,0.16
10.94894895,0.16
10.95845846,0.16
10.96796797,0.16
10.97747748,0.16
10.98698699,0.16
10.9964965,0.16
11.00600601,0.16
11.01551552,0.16
11.02502503,0.16
11.03453453,0.16
11.04404404,0.16
11.05355355,0.16
11.06306306,0.16
11.07257257,0.16
11.08208208,0.16
11.09159159,0.16
11.1011011,0.16
11.11061061,0.16
11.12012012,0.16
11.12962963,0.16
11.13913914,0.16
11.14864865,0.16
11.15815816,0.16
11.16766767,0.16
11.17717718,0.16
11.18668669,0.16
11.1961962,0.16
11.20570571,0.16
11.21521522,0.16
11.22472472,0.16
11.23423423,0.16
11.24374374,0.16
11.25325325,0.16
11.26276276,0.16
11.27227227,0.16
11.28178178,0.16
11.29129129,0.16
11.3008008,0.16
11.31031031,0.16
11.31981982,0.16
11.32932933,0.16
11.33883884,0.16
11.34834835,0.16
11.35785786,0.16
11.36736737,0.16
11.37687688,0.16
11.38638639,0.16
11.3958959,0.16
11.40540541,0.16
11.41491491,0.16
11.42442442,0.16
11.43393393,0.16
11.44344344,0.16
11.45295295,0.16
11.46246246,0.16
11.47197197,0.16
11.48148148,0.16
11.49099099,0.16
11.5005005,0.16
11.51001001,0.16
11.51951952,0.16
11.52902903,0.16
11.53853854,0.16
11.54804805,0.16
11.55755756,0.16
11.56706707,0.16
11.57657658,0.16
11.58608609,0.16
11.5955956,0.16
11.60510511,0.16
11.61461461,0.16
11.62412412,0.16
11.63363363,0.16
11.64314314,0.16
11.65265265,0.16
11.66216216,0.16
11.67167167,0.16
11.68118118,0.16
11.69069069,0.16
11.7002002,0.16
11.70970971,0.16
11.71921922,0.16
11.72872873,0.16
11.73823824,0.16
11.74774775,0.16
11.75725726,0.16
11.76676677,0.16
11.77627628,0.16
11.78578579,0.16
11.7952953,0.16
11.8048048,0.16
11.81431431,0.16
11.82382382,0.16
11.83333333,0.16
11.84284284,0.16
11.85235235,0.16
11.86186186,0.16
11.87137137,0.16
11.88088088,0.16
11.89039039,0.16
11.8998999,0.16
11.90940941,0.16
11.91891892,0.16
11.92842843,0.16
11.93793794,0.16
11.94744745,0.16
11.95695696,0.16
11.96646647,0.16
11.97597598,0.16
11.98548549,0.16
11.99499499,0.16
12.0045045,0.16
12.01401401,0.16
12.02352352,0.16
12.03303303,0.16
12.04254254,0.16
12.05205205,0.16
12.06156156,0.16
12.07107107,0.16
12.08058058,0.16
12.09009009,0.16
12.0995996,0.16
12.10910911,0.16
12.11861862,0.16
12.12812813,0.16
12.13763764,0.16
12.14714715,0.16
12.15665666,0.16
12.16616617,0.16
12.17567568,0.16
12.18518519,0.16
12.19469469,0.16
12.2042042,0.16
12.21371371,0.16
12.22322322,0.16
12.23273273,0.16
12.24224224,0.16
12.25175175,0.16
12.26126126,0.16
12.27077077,0.16
12.28028028,0.16
12.28978979,0.16
12.2992993,0.16
12.30880881,0.16
12.31831832,0.16
12.32782783,0.16
12.33733734,0.16
12.34684685,0.16
12.35635636,0.16
12.36586587,0.16
12.37537538,0.16
12.38488488,0.16
12.39439439,0.16
12.4039039,0.16
12.41341341,0.16
12.42292292,0.16
12.43243243,0.16
12.44194194,0.16
12.45145145,0.16
12.46096096,0.16
12.47047047,0.16
12.47997998,0.16
12.48948949,0.16
12.498999,0.16
12.50850851,0.16
12.51801802,0.16
12.52752753,0.16
12.53703704,0.16
12.54654655,0.16
12.55605606,0.16
12.56556557,0.16
12.57507508,0.16
12.58458458,0.16
12.59409409,0.16
12.6036036,0.16
12.61311311,0.16
12.62262262,0.16
12.63213213,0.16
12.64164164,0.16
12.65115115,0.16
12.66066066,0.16
12.67017017,0.16
12.67967968,0.16
12.68918919,0.16
12.6986987,0.16
12.70820821,0.16
12.71771772,0.16
12.72722723,0.16
12.73673674,0.16
12.74624625,0.16
12.75575576,0.16
12.76526527,0.16
12.77477477,0.16
12.78428428,0.16
12.79379379,0.16
12.8033033,0.16
12.81281281,0.16
12.82232232,0.16
12.83183183,0.16
12.84134134,0.16
12.85085085,0.16
12.86036036,0.16
12.86986987,0.16
12.87937938,0.16
12.88888889,0.16
12.8983984,0.16
12.90790791,0.16
12.91741742,0.16
12.92692693,0.16
12.93643644,0.16
12.94594595,0.16
12.95545546,0.16
12.96496496,0.16
12.97447447,0.16
12.98398398,0.16
12.99349349,0.16
13.003003,0.16
13.01251251,0.16
13.02202202,0.16
13.03153153,0.16
13.04104104,0.16
13.05055055,0.16
13.06006006,0.16
13.06956957,0.16
13.07907908,0.16
13.08858859,0.16
13.0980981,0.16
13.10760761,0.16
13.11711712,0.16
13.12662663,0.16
13.13613614,0.16
13.14564565,0.16
13.15515516,0.16
13.16466466,0.16
13.17417417,0.16
13.18368368,0.16
13.19319319,0.16
13.2027027,0.16
13.21221221,0.16
13.22172172,0.16
13.23123123,0.16
13.24074074,0.16
13.25025025,0.16
13.25975976,0.16
13.26926927,0.16
13.27877878,0.16
13.28828829,0.16
13.2977978,0.16
13.30730731,0.16
13.31681682,0.16
13.32632633,0.16
13.33583584,0.16
13.34534535,0.16
13.35485485,0.16
13.36436436,0.16
13.37387387,0.16
13.38338338,0.16
13.39289289,0.16
13.4024024,0.16
13.41191191,0.16
13.42142142,0.16
13.43093093,0.16
13.44044044,0.16
13.44994995,0.16
13.45945946,0.16
13.46896897,0.16
13.47847848,0.16
13.48798799,0.16
13.4974975,0.16
13.50700701,0.16
13.51651652,0.16
13.52602603,0.16
13.53553554,0.16
13.54504505,0.16
13.55455455,0.16
13.56406406,0.16
13.57357357,0.16
13.58308308,0.16
13.59259259,0.16
13.6021021,0.16
13.61161161,0.16
13.62112112,0.16
13.63063063,0.16
13.64014014,0.16
13.64964965,0.16
13.65915916,0.16
13.66866867,0.16
13.67817818,0.16
13.68768769,0.16
13.6971972,0.16
13.70670671,0.16
13.71621622,0.16
13.72572573,0.16
13.73523524,0.16
13.74474474,0.16
13.75425425,0.16
13.76376376,0.16
13.77327327,0.16
13.78278278,0.16
13.79229229,0.16
13.8018018,0.16
13.81131131,0.16
13.82082082,0.16
13.83033033,0.16
13.83983984,0.16
13.84934935,0.16
13.85885886,0.16
13.86836837,0.16
13.87787788,0.16
13.88738739,0.16
13.8968969,0.16
13.90640641,0.16
13.91591592,0.16
13.92542543,0.16
13.93493493,0.16
13.94444444,0.16
13.95395395,0.16
13.96346346,0.16
13.97297297,0.16
13.98248248,0.16
13.99199199,0.16
14.0015015,0.16
14.01101101,0.16
14.02052052,0.16
14.03003003,0.16
14.03953954,0.16
14.04904905,0.16
14.05855856,0.16
14.06806807,0.16
14.07757758,0.16
14.08708709,0.16
14.0965966,0.16
14.10610611,0.16
14.11561562,0.16
14.12512513,0.16
14.13463463,0.16
14.14414414,0.16
14.15365365,0.16
14.16316316,0.16
14.17267267,0.16
14.18218218,0.16
14.19169169,0.16
14.2012012,0.16
14.21071071,0.16
14.22022022,0.16
14.22972973,0.16
14.23923924,0.16
14.24874875,0.16
14.25825826,0.16
14.26776777,0.16
14.27727728,0.16
14.28678679,0.16
14.2962963,0.16
14.30580581,0.16
14.31531532,0.16
14.32482482,0.16
14.33433433,0.16
14.34384384,0.16
14.35335335,0.16
14.36286286,0.16
14.37237237,0.16
14.38188188,0.16
14.39139139,0.16
14.4009009,0.16
14.41041041,0.16
14.41991992,0.16
14.42942943,0.16
14.43893894,0.16
14.44844845,0.16
14.45795796,0.16
14.46746747,0.16
14.47697698,0.16
14.48648649,0.16
14.495996,0.16
14.50550551,0.16
14.51501502,0.16
14.52452452,0.16
14.53403403,0.16
14.54354354,0.16
14.55305305,0.16
14.56256256,0.16
14.57207207,0.16
14.58158158,0.16
14.59109109,0.16
14.6006006,0.16
14.61011011,0.16
14.61961962,0.16
14.62912913,0.16
14.63863864,0.16
14.64814815,0.16
14.65765766,0.16
14.66716717,0.16
14.67667668,0.16
14.68618619,0.16
14.6956957,0.16
14.70520521,0.16
14.71471471,0.16
14.72422422,0.16
14.73373373,0.16
14.74324324,0.16
14.75275275,0.16
14.76226226,0.16
14.77177177,0.16
14.78128128,0.16
14.79079079,0.16
14.8003003,0.16
14.80980981,0.16
14.81931932,0.16
14.82882883,0.16
14.83833834,0.16
14.84784785,0.16
14.85735736,0.16
14.86686687,0.16
14.87637638,0.16
14.88588589,0.16
14.8953954,0.16
14.9049049,0.16
14.91441441,0.16
14.92392392,0.16
14.93343343,0.16
14.94294294,0.16
14.95245245,0.16
14.96196196,0.16
14.97147147,0.16
14.98098098,0.16
14.99049049,0.16
15,0.16
